"","Subtype","Provider","Name","Council","Grades published","Setting","Staffing","Leadership","Care and play","Complaints upheld since 22/23","Total"
"185","Under 3s","Private","Heron House Early Years Killearn","Stirling","21/03/2024",4,5,5,4,0,18
"186","Under 3s","Private","Acrewood Nursery","Stirling","27/09/2018",5,4,4,4,1,17
"187","Under 3s","Private","The Meadows Nursery School","Stirling","14/08/2023",5,4,4,5,0,18
"188","Under 3s","Voluntary or Not for Profit","Thornhill Playgroup","Stirling","30/10/2019",4,5,4,4,0,17
"189","Under 3s","Local Authority","Creche & Play Programmes","Stirling","09/10/2018",5,5,5,5,0,20
"190","Under 3s","Voluntary or Not for Profit","Gargunnock Playgroup","Stirling","06/09/2023",4,3,3,3,0,13
"191","Under 3s","Voluntary or Not for Profit","Villa Kindergarten","West Dunbartonshire","04/09/2019",4,5,4,5,0,18
"192","Under 3s","Private","Brookland Nursery","West Dunbartonshire","25/04/2023",4,4,4,4,0,16
"193","Under 3s","Private","Carousel Nurseries (Alexandria)","West Dunbartonshire","08/08/2022",4,5,5,5,0,19
"194","Under 3s","Private","Carousel Nurseries (Dumbarton)","West Dunbartonshire","04/04/2023",4,4,4,4,0,16
"195","Under 3s","Private","Seton House Nursery","Glasgow City","26/03/2024",3,2,2,3,0,10
"196","Under 3s","Private","Adelaides Nursery","Glasgow City","15/01/2019",5,4,4,5,0,18
"197","Over 3s","Voluntary or Not for Profit","Dennistoun After School Service","Glasgow City","12/09/2018",4,4,4,5,0,17
"198","Over 3s","Private","St. Thomas's Playgroup","Glasgow City","20/09/2023",4,5,4,4,0,17
"199","Over 3s","Voluntary or Not for Profit","Barlanark Out Of School Care","Glasgow City","30/10/2017",4,5,5,5,0,19
"200","Over 3s","Voluntary or Not for Profit","Centre Playgroup","Glasgow City","22/08/2023",4,4,4,4,0,16
"201","Over 3s","Voluntary or Not for Profit","Buddies Out of School Care","Glasgow City","28/04/2023",5,5,4,5,0,19
"202","Under 3s","Voluntary or Not for Profit","Westbourne Gardens Nursery","Glasgow City","06/01/2020",6,5,5,5,0,21
"203","Over 3s","Voluntary or Not for Profit","Jordanhill Out Of School Service Ltd","Glasgow City","26/08/2021",4,4,4,4,0,16
"204","Over 3s","Voluntary or Not for Profit","Hyndland After School Club","Glasgow City","10/03/2020",5,5,4,5,0,19
"205","Over 3s","Voluntary or Not for Profit","TASC - St Ninian's Primary","Glasgow City","23/09/2020",5,6,5,6,0,22
"206","Under 3s","Private","Nightingales Nursery","Glasgow City","12/06/2018",5,5,4,4,0,18
"207","Over 3s","Voluntary or Not for Profit","Buddies Clubs and Services","Glasgow City","06/07/2017",4,4,5,5,0,18
"208","Over 3s","Voluntary or Not for Profit","Blairdardie Out Of School Care","Glasgow City","26/10/2017",4,4,4,5,0,17
"209","Under 3s","Private","Acorn Park Nursery","Glasgow City","05/12/2018",4,4,4,4,0,16
"210","Over 3s","Private","Somerset Nursery - Clairmont","Glasgow City","08/03/2019",4,4,4,4,0,16
"211","Over 3s","Voluntary or Not for Profit","TASC - Knightswood OSC","Glasgow City","25/10/2019",5,5,6,6,0,22
"212","Under 3s","Private","Gowanlea Private Nursery","Glasgow City","24/02/2020",4,5,4,4,0,17
"213","Under 3s","Voluntary or Not for Profit","Rosemount Lifelong Learning","Glasgow City","06/03/2024",4,3,3,2,0,12
"214","Under 3s","Voluntary or Not for Profit","Stepping Stones For Families (Possilpark Family Centre)","Glasgow City","24/04/2019",5,5,4,5,0,19
"215","Under 3s","Voluntary or Not for Profit","Maryhill Mobile Creche","Glasgow City","23/01/2019",5,6,5,5,0,21
"216","Over 3s","Voluntary or Not for Profit","Cadder Out Of School Service","Glasgow City","15/08/2019",4,4,4,4,0,16
"217","Over 3s","Voluntary or Not for Profit","Summerston After School Care","Glasgow City","27/07/2017",4,4,4,4,0,16
"218","Under 3s","Voluntary or Not for Profit","St. Roch's Childcare (Royston Primary)","Glasgow City","05/11/2018",4,4,4,4,0,16
"219","Under 3s","Private","Clarence House Nursery","Glasgow City","10/10/2019",5,5,4,4,0,18
"220","Under 3s","Private","Clever Clogs Nursery","Glasgow City","03/04/2024",3,3,3,3,0,12
"221","Under 3s","Private","Happitots Day Nursery - Baillieston","Glasgow City","19/08/2021",4,4,4,4,1,16
"222","Under 3s","Private","Thrive Childcare and Education Happitots Garrowhill","Glasgow City","30/10/2023",3,2,2,2,1,9
"223","Under 3s","Private","Kirktonholme @ Shettleston","Glasgow City","28/02/2024",4,4,4,4,0,16
"224","Over 3s","Private","North East Circle St Francis OSC","Glasgow City","13/02/2018",6,6,5,5,0,22
"225","Over 3s","Voluntary or Not for Profit","Glasgow City Mission Child and Family Centre","Glasgow City","08/01/2020",5,5,5,5,0,20
"226","Under 3s","Voluntary or Not for Profit","Poppins Kindergarten","Glasgow City","20/07/2021",5,5,4,5,0,19
"227","Under 3s","Private","Heathdene Nurseries Ltd","Glasgow City","08/08/2022",4,4,4,4,0,16
"228","Over 3s","Voluntary or Not for Profit","East Pollokshields Out of School Care (EPOSC)","Glasgow City","12/03/2020",5,5,5,5,0,20
"229","Over 3s","Voluntary or Not for Profit","OLA Out Of School Care","Glasgow City","12/09/2017",5,5,5,5,0,20
"230","Under 3s","Private","Busy Bees @ Heritage House","Glasgow City","28/11/2023",4,5,4,4,0,17
"231","Under 3s","Private","Bright Beginnings","Glasgow City","22/03/2023",5,5,5,5,0,20
"232","Over 3s","Voluntary or Not for Profit","Carmunnock Pre School Nursery","Glasgow City","24/05/2017",5,5,5,5,0,20
"233","Under 3s","Voluntary or Not for Profit","The Jeely Early Years Service","Glasgow City","07/02/2019",5,5,5,6,0,21
"234","Over 3s","Voluntary or Not for Profit","Cojac Centre Playscheme","Glasgow City","01/12/2022",6,6,5,6,1,23
"235","Over 3s","Voluntary or Not for Profit","St. Mirins Out of School Club","Glasgow City","17/01/2020",6,6,6,6,0,24
"236","Over 3s","Voluntary or Not for Profit","LASCCA","Glasgow City","01/11/2017",5,5,4,5,0,19
"237","Over 3s","Private","Tinto After School Care (Glasgow)","Glasgow City","18/01/2022",4,5,5,4,0,18
"238","Over 3s","Voluntary or Not for Profit","Battlefield ASC","Glasgow City","23/04/2024",2,2,3,2,0,9
"239","Over 3s","Voluntary or Not for Profit","Pollokshaws After School Service","Glasgow City","09/08/2019",5,4,5,5,0,19
"240","Over 3s","Voluntary or Not for Profit","Darnley OSC - Darnley Community Education Centre","Glasgow City","09/12/2019",4,5,5,5,0,19
"241","Over 3s","Voluntary or Not for Profit","Carnwadric After School","Glasgow City","14/08/2023",4,4,4,4,1,16
"242","Over 3s","Voluntary or Not for Profit","Shawlands OS Care","Glasgow City","21/07/2022",4,5,5,5,0,19
"243","Under 3s","Voluntary or Not for Profit","Glasgow Clyde College","Glasgow City","20/02/2020",5,4,5,4,0,18
"244","Over 3s","Voluntary or Not for Profit","Kool Kidz (Sandwood)","Glasgow City","16/02/2018",4,4,4,4,0,16
"245","Over 3s","Voluntary or Not for Profit","Gingerbread East End","Glasgow City","07/10/2019",5,5,5,5,0,20
"246","Under 3s","Private","Treehouse Nursery - Uddingston","South Lanarkshire","07/11/2023",3,4,4,4,1,15
"247","Under 3s","Private","Casa Dei Bambini Montessori Pre-School","South Lanarkshire","29/08/2019",4,4,4,4,0,16
"248","Under 3s","Private","Chatelherault Nursery School","South Lanarkshire","05/04/2024",5,4,4,4,1,17
"249","Under 3s","Private","Westpark Nursery School and Out of School Care","South Lanarkshire","03/07/2019",4,5,5,5,0,19
"250","Under 3s","Private","Bardykes Farm Nursery School","South Lanarkshire","30/03/2023",5,5,5,5,2,20
"251","Over 3s","Voluntary or Not for Profit","Strathaven Community Nursery","South Lanarkshire","05/10/2018",4,5,4,4,0,17
"252","Under 3s","Private","Stonefield Nursery & Out of School Care","South Lanarkshire","23/08/2021",4,4,4,4,1,16
"253","Over 3s","Voluntary or Not for Profit","Kirklandpark After School Care Service","South Lanarkshire","14/03/2023",4,4,4,4,1,16
"254","Over 3s","Private","Strathaven After School Club Ltd.","South Lanarkshire","10/01/2022",4,4,4,5,0,17
"255","Under 3s","Private","Sweetie Brae Private Nursery","South Lanarkshire","07/05/2024",3,3,3,3,0,12
"256","Over 3s","Voluntary or Not for Profit","Hamilton After School Project","South Lanarkshire","11/12/2023",4,4,4,4,0,16
"257","Under 3s","Voluntary or Not for Profit","Little Pets Playgroup","South Lanarkshire","13/12/2019",5,5,4,4,0,18
"258","Over 3s","Voluntary or Not for Profit","Cambuslang Childcare Project","South Lanarkshire","16/08/2017",5,5,5,5,0,20
"259","Under 3s","Private","Busy Bees at Glasgow Oakwood","South Lanarkshire","06/09/2021",4,4,4,4,1,16
"260","Under 3s","Private","Bothwell Montessori Nursery School","South Lanarkshire","20/03/2019",5,5,5,6,0,21
"261","Under 3s","Private","Little People Nursery School","South Lanarkshire","17/11/2021",4,4,4,4,0,16
"262","Under 3s","Private","Grand-y-Care Academy","South Lanarkshire","07/06/2019",6,5,5,6,0,22
"263","Under 3s","Private","Rascals Nursery","South Lanarkshire","05/03/2024",4,4,4,4,0,16
"264","Under 3s","Voluntary or Not for Profit","Jack & Jill Pre 5 Group","South Lanarkshire","09/01/2019",5,4,4,4,0,17
"265","Over 3s","Voluntary or Not for Profit","Wombles Pre-5 Centre","South Lanarkshire","08/03/2024",3,4,3,3,0,13
"266","Over 3s","Voluntary or Not for Profit","Mounties Community Nursery","South Lanarkshire","31/07/2017",5,5,5,5,0,20
"267","Over 3s","Voluntary or Not for Profit","Greenhills Out Of School Care","South Lanarkshire","22/08/2018",4,5,4,5,0,18
