"","Subtype","Provider","Name","Council","Grades published","Setting","Staffing","Leadership","Care and play","Complaints upheld since 22/23","Total"
"435","Under 3s","Voluntary or Not for Profit","Portobello Toddlers Hut Playgroup","City of Edinburgh","29/11/2018",5,4,4,5,0,18
"436","Under 3s","Voluntary or Not for Profit","The Crescent Playgroup","Midlothian","18/07/2018",4,5,5,5,0,19
"437","Under 3s","Private","Wester Coates Nursery School","City of Edinburgh","14/06/2019",5,5,6,6,0,22
"438","Over 3s","Voluntary or Not for Profit","Davidson's Mains Out of School Care Provision","City of Edinburgh","09/12/2019",5,5,5,5,0,20
"439","Over 3s","Voluntary or Not for Profit","Ferryhill Out Of School Provision","City of Edinburgh","18/12/2019",5,5,5,5,0,20
"440","Under 3s","Voluntary or Not for Profit","North Edinburgh Childcare","City of Edinburgh","06/12/2023",4,3,3,3,0,13
"441","Over 3s","Voluntary or Not for Profit","Countess After School Club","East Lothian","06/06/2023",5,5,5,5,0,20
"442","Over 3s","Voluntary or Not for Profit","Kingfisher Club - Kestrel House","West Lothian","06/03/2017",5,5,4,5,0,19
"443","Over 3s","Voluntary or Not for Profit","Broughton After School Club","City of Edinburgh","22/02/2017",5,5,5,5,0,20
"444","Under 3s","Voluntary or Not for Profit","LASC Childcare Services (Community Nursery)","Midlothian","03/08/2022",4,4,4,4,0,16
"445","Over 3s","Voluntary or Not for Profit","LASC Childcare Services Ltd (Roslin)","Midlothian","14/02/2019",5,5,6,5,0,21
"446","Over 3s","Voluntary or Not for Profit","Venchie Children And Young People's Project","City of Edinburgh","31/10/2023",3,4,4,4,0,15
"447","Under 3s","Voluntary or Not for Profit","Penicuik Family Learning Centre","Midlothian","20/12/2019",4,5,5,5,0,19
"448","Over 3s","Voluntary or Not for Profit","St. Mary's After School Club","City of Edinburgh","13/12/2016",4,5,5,5,0,19
"449","Over 3s","Voluntary or Not for Profit","Burgh After School Care Club","East Lothian","16/05/2018",4,4,4,4,0,16
"450","Over 3s","Voluntary or Not for Profit","Greenbank Pre-school","City of Edinburgh","04/12/2018",4,5,5,5,0,19
"451","Under 3s","Voluntary or Not for Profit","Longniddry Playgroup","East Lothian","04/06/2019",4,4,4,4,0,16
"452","Under 3s","Voluntary or Not for Profit","Temple Nursery & Playgroup","Midlothian","14/01/2019",4,4,5,4,0,17
"453","Under 3s","Voluntary or Not for Profit","Corstorphine Village Playgroup","City of Edinburgh","15/11/2019",4,4,4,4,0,16
"454","Under 3s","Voluntary or Not for Profit","Leith St Andrew`s Playgroup","City of Edinburgh","27/07/2017",5,4,4,5,0,18
"455","Under 3s","Voluntary or Not for Profit","Broxburn Playgroup","West Lothian","03/10/2018",4,4,4,5,0,17
"456","Under 3s","Voluntary or Not for Profit","Northfield/WillowbraePlaygroup","City of Edinburgh","11/10/2019",5,5,5,5,0,20
"457","Under 3s","Voluntary or Not for Profit","Mayfield Family Learning Centre","Midlothian","11/10/2018",5,6,5,5,0,21
"458","Under 3s","Voluntary or Not for Profit","Woodburn Family Learning Centre","Midlothian","19/08/2019",5,5,4,4,0,18
"459","Under 3s","Voluntary or Not for Profit","Gorebridge Family Learning Centre","Midlothian","13/07/2018",4,6,4,6,0,20
"460","Under 3s","Voluntary or Not for Profit","First Adventures Nursery - Teddy Bear House","West Lothian","06/03/2019",6,6,4,5,0,21
"461","Under 3s","Private","Happy Faces Nursery","Dumfries & Galloway","27/01/2020",4,6,5,6,0,21
"462","Over 3s","Voluntary or Not for Profit","Lincluden After School Group","Dumfries & Galloway","18/03/2024",5,4,3,4,0,16
"463","Under 3s","Private","Malory House Nursery","Dumfries & Galloway","03/05/2019",5,5,5,5,0,20
"464","Under 3s","Voluntary or Not for Profit","Maxwelltown Playcare","Dumfries & Galloway","22/08/2019",4,4,5,4,0,17
"465","Under 3s","Local Authority","Grantown Primary School Nursery","Highland","19/12/2019",5,5,5,5,0,20
"466","Over 3s","Local Authority","Noss Early Learning and Childcare","Highland","17/04/2024",4,4,4,4,0,16
"467","Over 3s","Local Authority","Mount Pleasant Nursery","Highland","31/05/2024",4,4,4,4,1,16
"468","Over 3s","Local Authority","Beauly Nursery","Highland","21/09/2022",4,5,5,5,0,19
"469","Over 3s","Local Authority","Cannich Bridge Nursery","Highland","07/12/2023",3,5,4,4,0,16
"470","Over 3s","Local Authority","Central (English) Nursery","Highland","20/12/2023",4,4,5,4,0,17
"471","Over 3s","Local Authority","Duncan Forbes Primary ELC","Highland","09/09/2020",4,4,4,5,0,17
"472","Over 3s","Local Authority","Acharacle Primary Nursery","Highland","24/01/2019",5,5,5,5,0,20
"473","Over 3s","Local Authority","Ardgour Nursery","Highland","14/05/2024",5,5,3,5,0,18
"474","Over 3s","Local Authority","Sgoil Araich Ghaidhlig Loch Abar","Highland","06/11/2023",4,4,4,4,0,16
"475","Over 3s","Local Authority","Inverie Primary School Nursery","Highland","28/06/2018",4,4,4,4,0,16
"476","Over 3s","Local Authority","Mallaig Nursery/Sgoil Araich Mhalaig","Highland","13/06/2022",5,5,5,5,0,20
"477","Over 3s","Local Authority","Millbank Nursery","Highland","09/05/2019",5,5,4,4,0,18
"478","Over 3s","Local Authority","Bridgend Nursery","Highland","05/12/2023",4,5,5,4,0,18
"479","Over 3s","Local Authority","Tain Nursery","Highland","19/03/2018",4,4,4,4,0,16
"480","Over 3s","Local Authority","Dingwall (English) Nursery","Highland","15/02/2023",4,4,5,4,0,17
"481","Over 3s","Local Authority","Gairloch (English) Nursery","Highland","24/01/2020",4,4,4,5,0,17
"482","Over 3s","Local Authority","Gairloch (Gaelic) Nursery","Highland","09/10/2023",4,4,4,4,0,16
"483","Over 3s","Local Authority","North Kessock Nursery","Highland","13/11/2019",5,4,4,5,0,18
"484","Over 3s","Local Authority","St. Clement's Nursery","Highland","09/04/2018",4,4,4,4,0,16
"485","Over 3s","Local Authority","Strathgarve Primary School Nursery","Highland","19/06/2018",5,5,5,5,0,20
"486","Over 3s","Local Authority","Ullapool Nursery - GM","Highland","11/02/2020",4,5,4,5,0,18
"487","Over 3s","Local Authority","Broadford School Gaelic Medium Nursery","Highland","24/10/2023",4,5,4,4,0,17
"488","Under 3s","Local Authority","Kyle (English) Nursery","Highland","11/01/2024",3,4,4,3,0,14
"489","Over 3s","Local Authority","Staffin Nursery - GM","Highland","08/11/2022",5,5,5,5,0,20
"490","Over 3s","Local Authority","Gledfield Nursery","Highland","30/08/2019",5,5,5,4,0,19
"491","Over 3s","Voluntary or Not for Profit","Skene Square OOSC","Aberdeen City","04/10/2023",3,4,3,3,0,13
"492","Under 3s","Private","Simpson Playhouse","Aberdeenshire","19/09/2019",4,5,5,4,0,18
"493","Under 3s","Private","Rainbow Castle Childcare","Moray","04/08/2021",4,4,4,4,0,16
"494","Over 3s","Private","Skool Is Out @ Barclay Viewforth","City of Edinburgh","20/12/2023",5,5,5,4,0,19
"495","Under 3s","Local Authority","Cowgate Under 5's","City of Edinburgh","24/08/2023",4,4,3,3,0,14
"496","Over 3s","Local Authority","Heathfield Early Years Centre","South Ayrshire","05/04/2019",5,5,5,5,0,20
"497","Over 3s","Private","Wellington School (Ayr) Ltd","South Ayrshire","11/01/2017",5,5,5,6,0,21
"498","Over 3s","Voluntary or Not for Profit","Muirtown After School Klub","Highland","01/03/2023",4,5,4,4,0,17
"499","Under 3s","Local Authority","Onthank Early Childhood Centre","East Ayrshire","01/05/2018",5,6,5,6,0,22
"500","Under 3s","Local Authority","Netherthird Early Childhood Centre","East Ayrshire","19/07/2021",4,4,4,4,0,16
"501","Under 3s","Local Authority","Cairns Early Childhood Centre","East Ayrshire","14/02/2023",4,4,4,4,0,16
"502","Under 3s","Local Authority","Shortlees Early Childhood Centre","East Ayrshire","13/09/2021",4,5,5,5,0,19
"503","Under 3s","Voluntary or Not for Profit","Viewpark Childcare Services","North Lanarkshire","08/09/2021",4,4,4,4,0,16
"504","Under 3s","Local Authority","Cherry Tree Early Years Centre","South Ayrshire","07/07/2020",5,4,5,5,0,19
"505","Over 3s","Local Authority","Mossblown Care Club","South Ayrshire","29/09/2017",4,4,5,5,0,18
"506","Under 3s","Voluntary or Not for Profit","Quarriers Family Resource Centre","Glasgow City","12/11/2018",5,5,4,5,0,19
"507","Under 3s","Private","Busy Bees @ Melrose","Scottish Borders","01/03/2024",4,5,5,4,0,18
"508","Over 3s","Voluntary or Not for Profit","Burgh Out of School Club","Scottish Borders","19/05/2023",3,4,3,3,0,13
"509","Over 3s","Local Authority","Abbotswell Primary School Nursery","Aberdeen City","19/04/2023",5,5,5,5,0,20
"510","Over 3s","Local Authority","Ashley Road School Nursery","Aberdeen City","07/02/2020",5,5,5,5,0,20
"511","Over 3s","Local Authority","Braehead Primary School Nursery","Aberdeen City","19/04/2024",5,5,5,5,0,20
"512","Over 3s","Private","Childcare Connections - Craigour","City of Edinburgh","08/04/2019",5,5,5,5,0,20
"513","Over 3s","Local Authority","Airyhall Nursery","Aberdeen City","16/04/2018",5,5,5,5,0,20
"514","Over 3s","Local Authority","Bramble Brae School Nursery","Aberdeen City","16/05/2018",4,4,4,4,0,16
"515","Over 3s","Local Authority","Broomhill School Nursery","Aberdeen City","02/04/2024",4,4,4,4,0,16
"516","Over 3s","Local Authority","Brimmond School Nursery","Aberdeen City","19/04/2022",4,4,4,4,0,16
"517","Over 3s","Local Authority","Charleston School Nursery","Aberdeen City","23/09/2020",5,5,5,5,0,20
"518","Over 3s","Local Authority","Cornhill School Nursery","Aberdeen City","02/05/2018",4,5,5,5,0,19
"519","Over 3s","Local Authority","Culter School Nursery","Aberdeen City","22/03/2024",4,4,3,3,0,14
"520","Over 3s","Local Authority","Cults Primary School Nursery","Aberdeen City","15/12/2022",5,5,4,4,0,18
"521","Under 3s","Local Authority","Riverbank School Nursery","Aberdeen City","21/12/2023",2,2,2,2,0,8
"522","Over 3s","Local Authority","Dyce School Nursery","Aberdeen City","06/12/2021",4,4,5,4,0,17
"523","Over 3s","Local Authority","Fernielea School Nursery","Aberdeen City","29/11/2022",4,5,4,5,0,18
"524","Over 3s","Local Authority","Ferryhill School Nursery","Aberdeen City","09/11/2023",4,4,5,5,0,18
"525","Over 3s","Local Authority","Forehill School Nursery","Aberdeen City","20/12/2023",3,3,3,3,0,12
"526","Over 3s","Local Authority","Gilcomstoun School Nursery","Aberdeen City","03/01/2024",4,5,5,5,0,19
"527","Over 3s","Local Authority","Greenbrae School Nursery Class","Aberdeen City","08/01/2020",4,5,4,4,0,17
"528","Over 3s","Local Authority","Hanover Street School Nursery","Aberdeen City","12/12/2023",3,4,3,3,0,13
"529","Over 3s","Local Authority","Hazlehead Primary School Nursery","Aberdeen City","15/03/2018",5,4,4,5,0,18
"530","Over 3s","Local Authority","Kaimhill Primary School Nursery","Aberdeen City","22/06/2021",5,5,5,5,0,20
"531","Over 3s","Local Authority","Kingswells Primary School Nursery","Aberdeen City","09/10/2019",4,5,5,5,0,19
"532","Over 3s","Local Authority","Kirkhill School Nursery","Aberdeen City","17/08/2023",2,3,3,3,0,11
"533","Over 3s","Local Authority","Kittybrewster School Nursery","Aberdeen City","21/12/2023",4,2,3,2,0,11
"534","Over 3s","Local Authority","Loirston School Nursery","Aberdeen City","14/09/2022",5,5,5,5,0,20
"535","Over 3s","Local Authority","Heathryburn Nursery School","Aberdeen City","29/11/2023",3,2,2,2,0,9
"536","Over 3s","Local Authority","Middleton Park School Nursery","Aberdeen City","06/11/2019",5,5,5,5,0,20
"537","Over 3s","Local Authority","Mile End Nursery","Aberdeen City","28/03/2019",5,5,5,5,0,20
"538","Over 3s","Local Authority","Milltimber School Nursery","Aberdeen City","25/07/2023",5,5,5,4,0,19
"539","Over 3s","Local Authority","Muirfield School Nursery","Aberdeen City","10/04/2024",2,3,3,2,0,10
"540","Over 3s","Local Authority","Quarryhill School Nursery","Aberdeen City","16/11/2018",4,4,4,4,0,16
"541","Over 3s","Local Authority","Scotstown School Nursery","Aberdeen City","29/01/2020",5,5,4,5,0,19
"542","Over 3s","Local Authority","Seaton School Nursery","Aberdeen City","21/03/2024",5,6,6,5,0,22
"543","Over 3s","Local Authority","Skene Square Primary School Nursery","Aberdeen City","28/05/2024",5,5,5,5,0,20
"544","Over 3s","Local Authority","Manor Park School Nursery","Aberdeen City","26/11/2019",5,5,5,5,0,20
"545","Over 3s","Local Authority","Kingsford School Nursery","Aberdeen City","14/05/2024",4,4,3,3,1,14
"546","Over 3s","Local Authority","St. Joseph's RC School Nursery","Aberdeen City","09/05/2018",5,5,4,5,0,19
"547","Over 3s","Voluntary or Not for Profit","Barnardo's Holiday Playscheme (Dudhope)","Dundee City","28/07/2023",5,5,5,5,0,20
"548","Over 3s","Voluntary or Not for Profit","Heathfield Out of School Care","South Ayrshire","19/03/2019",5,5,5,5,0,20
"549","Over 3s","Local Authority","Stoneywood School Nursery","Aberdeen City","31/10/2019",5,5,4,5,0,19
"550","Over 3s","Local Authority","Sunnybank School Nursery","Aberdeen City","22/10/2019",5,5,5,5,0,20
"551","Over 3s","Local Authority","Tullos School Nursery","Aberdeen City","31/10/2019",5,5,5,5,0,20
"552","Over 3s","Local Authority","Greyhope School Nursery","Aberdeen City","10/11/2023",3,3,3,3,0,12
"553","Over 3s","Local Authority","Woodside School Nursery","Aberdeen City","04/03/2024",5,4,3,3,0,15
"554","Under 3s","Local Authority","Arthurlie Family Centre","East Renfrewshire","13/07/2020",5,5,5,6,1,21
"555","Over 3s","Local Authority","Glenwood Family Centre","East Renfrewshire","09/05/2023",6,5,6,6,0,23
"556","Over 3s","Local Authority","Hazeldene Family Centre","East Renfrewshire","15/04/2019",5,6,5,6,0,22
"557","Under 3s","Local Authority","Madras Family Centre","East Renfrewshire","30/07/2018",5,5,5,5,0,20
"558","Over 3s","Local Authority","Arinagour Primary Pre Five Unit","Argyll & Bute","24/08/2018",4,4,4,5,0,17
"559","Under 3s","Local Authority","Arrochar Primary Pre Five Unit","Argyll & Bute","02/03/2020",5,6,5,6,0,22
"560","Under 3s","Local Authority","Bowmore Primary Pre Five Unit","Argyll & Bute","18/03/2020",5,5,4,5,0,19
"561","Under 3s","Local Authority","Bunessan Primary Pre Five Unit","Argyll & Bute","01/11/2018",4,4,4,4,0,16
"562","Over 3s","Local Authority","Campbeltown Nursery Centre","Argyll & Bute","27/02/2024",4,5,5,5,0,19
"563","Over 3s","Local Authority","Carradale Primary Pre Five Unit","Argyll & Bute","24/08/2018",4,4,4,5,0,17
"564","Under 3s","Local Authority","Clyde Cottage Nursery Centre","Argyll & Bute","11/12/2023",4,4,4,4,0,16
"565","Over 3s","Local Authority","Colgrain Primary Pre Five Unit","Argyll & Bute","09/03/2018",5,5,5,5,0,20
"566","Over 3s","Local Authority","Dalintober ELCC","Argyll & Bute","01/05/2018",4,5,5,5,0,19
"567","Under 3s","Local Authority","Dalmally Primary Pre Five Unit","Argyll & Bute","13/02/2019",4,5,4,4,0,17
"568","Over 3s","Local Authority","Drumlemble Primary Pre Five Unit","Argyll & Bute","14/03/2019",4,4,4,4,0,16
"569","Over 3s","Local Authority","Dunbeg Primary Pre Five Unit","Argyll & Bute","19/05/2023",3,3,3,3,0,12
"570","Under 3s","Local Authority","Dunoon Primary Pre Five Unit","Argyll & Bute","06/07/2023",4,4,4,4,0,16
"571","Under 3s","Local Authority","Easdale Primary Pre Five Unit","Argyll & Bute","27/02/2020",5,5,5,5,0,20
"572","Over 3s","Local Authority","Gigha Primary Pre Five Unit","Argyll & Bute","21/11/2017",4,5,4,5,0,18
"573","Over 3s","Local Authority","Inveraray Pre Five Unit","Argyll & Bute","18/12/2019",5,4,4,4,0,17
"574","Under 3s","Local Authority","John Logie Baird Primary Pre 5","Argyll & Bute","06/12/2022",4,5,5,5,0,19
"575","Under 3s","Local Authority","Kilcreggan Primary Pre Five Unit","Argyll & Bute","25/04/2019",4,4,4,4,0,16
"576","Over 3s","Local Authority","Kilmartin Primary  Pre Five Unit","Argyll & Bute","01/03/2018",4,5,5,5,0,19
"577","Over 3s","Local Authority","Kilmodan Primary Pre Five Unit","Argyll & Bute","05/04/2018",5,5,5,5,0,20
"578","Over 3s","Local Authority","Kilninver Primary Pre Five Unit","Argyll & Bute","02/11/2017",4,5,4,5,0,18
"579","Over 3s","Local Authority","Kirn Primary Pre Five Unit","Argyll & Bute","24/04/2019",5,4,4,5,0,18
"580","Over 3s","Local Authority","Lismore Primary Pre Five Unit","Argyll & Bute","29/08/2019",5,4,4,4,0,17
"581","Over 3s","Local Authority","Keills Primary Pre Five Unit","Argyll & Bute","18/01/2018",4,4,5,4,0,17
"582","Over 3s","Local Authority","Port Ellen Primary Pre Five Unit","Argyll & Bute","03/05/2018",5,5,5,5,0,20
"583","Over 3s","Local Authority","Rhunahaorine Primary Pre Five Unit","Argyll & Bute","02/11/2018",5,5,5,5,0,20
"584","Over 3s","Local Authority","Salen Primary Pre Five Unit","Argyll & Bute","06/02/2023",4,4,4,4,0,16
"585","Over 3s","Local Authority","Sandbank Primary Pre Five Unit","Argyll & Bute","26/06/2018",5,5,5,5,0,20
"586","Over 3s","Local Authority","Small Isles Primary Pre Five Unit","Argyll & Bute","15/09/2021",3,4,4,4,0,15
"587","Over 3s","Local Authority","Strath of Appin Primary Pre Five Unit","Argyll & Bute","07/07/2017",5,5,4,5,0,19
"588","Over 3s","Local Authority","Taynuilt Primary Pre Five Unit","Argyll & Bute","08/01/2019",4,5,4,4,0,17
"589","Over 3s","Local Authority","Tayvallich Primary Pre Five Unit","Argyll & Bute","24/08/2020",5,5,5,5,0,20
"590","Under 3s","Local Authority","Tighnabruaich Primary Pre Five Unit","Argyll & Bute","12/05/2017",5,5,5,4,0,19
"591","Under 3s","Local Authority","Tiree Primary Pre Five Unit","Argyll & Bute","25/10/2023",5,5,5,5,0,20
"592","Under 3s","Local Authority","Auchinairn Early Years Centre","East Dunbartonshire","08/12/2021",4,4,4,4,0,16
"593","Over 3s","Local Authority","Baljaffray Early Years Centre","East Dunbartonshire","03/02/2023",4,4,4,4,0,16
"594","Under 3s","Local Authority","Woodland View Early Years","East Dunbartonshire","22/07/2019",5,5,5,6,0,21
"595","Under 3s","Local Authority","Castlehill Nursery Centre","East Dunbartonshire","03/03/2022",5,4,5,4,0,18
"596","Over 3s","Local Authority","Colquhoun Park Early Years Centre","East Dunbartonshire","14/05/2018",4,5,4,5,0,18
"597","Under 3s","Local Authority","Craighead Nursery Class","East Dunbartonshire","12/06/2023",4,5,4,5,0,18
"598","Under 3s","Local Authority","Gartconner Early Years Centre","East Dunbartonshire","26/06/2018",6,6,5,6,0,23
"599","Over 3s","Local Authority","Holy Family Early Years Centre","East Dunbartonshire","09/01/2020",4,6,6,4,0,20
"600","Over 3s","Local Authority","Killermont Early Years Centre","East Dunbartonshire","09/11/2022",5,5,5,5,0,20
"601","Under 3s","Local Authority","Lennoxtown Early Years Centre","East Dunbartonshire","29/11/2019",5,5,4,6,0,20
"602","Over 3s","Local Authority","Meadowburn Early Years Centre","East Dunbartonshire","29/11/2019",5,5,5,5,0,20
"603","Over 3s","Local Authority","Meadowburn Gaelic Medium Early Years Centre","East Dunbartonshire","27/03/2019",5,5,5,5,0,20
"604","Over 3s","Local Authority","Milngavie Early Years Centre","East Dunbartonshire","07/01/2020",6,5,5,6,0,22
"605","Over 3s","Local Authority","Torrance Early Years Centre","East Dunbartonshire","28/09/2023",5,5,5,5,0,20
"606","Under 3s","Local Authority","Twechar Nursery Class","East Dunbartonshire","22/03/2019",5,5,4,5,0,19
"607","Over 3s","Local Authority","Brucehill ELCC","West Dunbartonshire","23/06/2023",5,4,5,5,0,19
"608","Under 3s","Local Authority","Clydebank ELCC","West Dunbartonshire","10/05/2023",5,4,4,5,0,18
"609","Over 3s","Local Authority","Dalmonach ELCC","West Dunbartonshire","30/01/2020",4,4,4,4,0,16
"610","Over 3s","Local Authority","Dalmuir ELCC","West Dunbartonshire","21/12/2017",4,4,4,4,0,16
"611","Over 3s","Local Authority","Auchnacraig ELCC","West Dunbartonshire","04/05/2023",5,4,5,5,1,19
"612","Under 3s","Local Authority","Lennox ELCC","West Dunbartonshire","08/03/2019",6,5,4,5,0,20
"613","Under 3s","Local Authority","Ferryfield ELCC","West Dunbartonshire","10/04/2019",4,4,4,4,0,16
"614","Under 3s","Local Authority","Gartocharn ELCC","West Dunbartonshire","29/11/2019",4,4,5,4,0,17
"615","Over 3s","Local Authority","Gavinburn ELCC","West Dunbartonshire","26/06/2023",4,5,5,5,0,19
"616","Over 3s","Local Authority","Kilbowie ELCC","West Dunbartonshire","19/07/2022",5,5,5,5,0,20
"617","Over 3s","Local Authority","Linnvale ELCC","West Dunbartonshire","05/01/2022",4,5,5,5,0,19
"618","Under 3s","Local Authority","Braehead PS ELCC","West Dunbartonshire","24/05/2023",5,4,4,4,0,17
"619","Under 3s","Local Authority","St. Eunan's ELCC","West Dunbartonshire","29/08/2023",5,6,5,5,0,21
"620","Over 3s","Local Authority","St. Marys ELCC","West Dunbartonshire","11/09/2020",4,5,4,5,0,18
"621","Under 3s","Local Authority","Renton Primary School &ELCC","West Dunbartonshire","24/01/2019",4,4,4,4,0,16
"622","Over 3s","Local Authority","Whitecrook ELCC","West Dunbartonshire","16/03/2018",5,4,4,5,0,18
"623","Under 3s","Local Authority","Auchenlodment Early Learning and Childcare Class","Renfrewshire","05/10/2021",5,5,5,5,0,20
"624","Over 3s","Local Authority","Bushes Early Learning and Childcare Class","Renfrewshire","30/11/2022",5,5,5,5,0,20
"625","Under 3s","Local Authority","East Fulton Early Learning and Childcare Class","Renfrewshire","27/02/2024",4,4,4,4,0,16
"626","Under 3s","Local Authority","Gallowhill Early Learning and Childcare Class","Renfrewshire","27/03/2019",5,5,5,5,0,20
"627","Over 3s","Local Authority","Heriot Early Learning and Childcare Class","Renfrewshire","06/02/2018",4,5,5,5,0,19
"628","Over 3s","Local Authority","Houston Early Learning and Childcare Class","Renfrewshire","26/02/2020",5,5,5,5,0,20
"629","Over 3s","Local Authority","Lochwinnoch Early Learning and Childcare Class","Renfrewshire","25/04/2024",4,5,4,4,0,17
"630","Over 3s","Local Authority","Ralston Early Learning and Childcare Class","Renfrewshire","20/01/2023",3,4,4,3,0,14
"631","Over 3s","Local Authority","St Anne's Early Learning and Childcare Class","Renfrewshire","04/05/2024",4,4,3,3,0,14
"632","Under 3s","Local Authority","St Catherine's Early Learning and Childcare Class","Renfrewshire","11/04/2023",5,5,5,5,1,20
"633","Under 3s","Local Authority","St Charles' Early Learning and Childcare Class","Renfrewshire","17/07/2023",4,4,4,4,0,16
"634","Under 3s","Local Authority","St Mary's Early Learning and Childcare Class","Renfrewshire","24/05/2022",5,5,4,5,0,19
"635","Under 3s","Local Authority","St Peter's Early Learning and Childcare Class","Renfrewshire","28/10/2022",4,4,4,4,0,16
"636","Over 3s","Local Authority","Todholm Early Learning and Childcare Class","Renfrewshire","14/02/2020",5,5,5,5,0,20
"637","Over 3s","Local Authority","West Early Learning and Childcare Class","Renfrewshire","30/06/2022",5,4,4,5,0,18
"638","Over 3s","Local Authority","Wallace Early Learning and Childcare Class","Renfrewshire","02/12/2019",5,5,5,5,0,20
"639","Over 3s","Local Authority","Williamsburgh Early Learning and Childcare Class","Renfrewshire","25/04/2024",5,5,4,5,0,19
"640","Under 3s","Local Authority","St Margaret's Early Learning and Childcare Class","Renfrewshire","27/11/2019",4,5,5,5,0,19
"641","Under 3s","Local Authority","St John Bosco Early Learning and Childcare Class","Renfrewshire","05/11/2019",4,5,5,4,0,18
"642","Over 3s","Local Authority","Spateston Early Learning and Childcare Centre","Renfrewshire","17/05/2023",6,5,5,6,0,22
"643","Under 3s","Local Authority","Douglas Street Early Learning and Childcare Centre","Renfrewshire","23/08/2023",5,5,5,5,0,20
"644","Under 3s","Local Authority","Ferguslie Early Learning and Childcare Centre","Renfrewshire","07/01/2020",5,4,6,4,1,19
"645","Under 3s","Local Authority","Foxlea Early Learning and Childcare Centre","Renfrewshire","05/01/2024",4,4,4,4,0,16
"646","Under 3s","Local Authority","Glenburn Early Learning and Childcare Centre","Renfrewshire","01/08/2019",5,5,5,5,0,20
"647","Under 3s","Local Authority","Glenfield Early Learning and Childcare Centre","Renfrewshire","15/04/2024",4,4,4,4,0,16
"648","Under 3s","Local Authority","Hugh Smiley Early Learning and Childcare Centre","Renfrewshire","28/10/2022",5,5,5,5,0,20
"649","Under 3s","Local Authority","Riverbrae Early Learning and Childcare Centre","Renfrewshire","05/05/2023",4,4,4,4,2,16
"650","Under 3s","Local Authority","Moorpark Early Learning and Childcare Centre","Renfrewshire","23/12/2019",6,5,5,6,0,22
"651","Under 3s","Local Authority","Paisley Early Learning and Childcare Centre","Renfrewshire","23/10/2023",4,4,4,4,0,16
"652","Under 3s","Local Authority","West Johnstone Early Learning and Childcare Centre","Renfrewshire","05/11/2019",5,5,5,5,0,20
"653","Over 3s","Local Authority","Ibrox Primary School - Nursery Class","Glasgow City","31/01/2019",4,4,4,4,0,16
"654","Over 3s","Local Authority","Carmyle Nursery Class","Glasgow City","03/07/2023",4,5,5,5,0,19
"655","Over 3s","Local Authority","Dunard Nursery Class","Glasgow City","06/02/2018",5,5,4,5,0,19
"656","Under 3s","Local Authority","Elmvale Nursery Class","Glasgow City","17/01/2024",4,3,4,4,0,15
"657","Over 3s","Local Authority","St Constantine's Nursery Class","Glasgow City","08/11/2019",5,5,5,5,0,20
"658","Over 3s","Local Authority","Haghill Park Nursery Class","Glasgow City","03/04/2018",5,5,5,5,0,20
"659","Over 3s","Local Authority","Mount Florida Nursery Class","Glasgow City","16/04/2018",5,5,5,5,0,20
"660","Under 3s","Local Authority","Pollokshields Early Years Centre","Glasgow City","21/08/2023",4,5,5,5,0,19
"661","Over 3s","Local Authority","St. Angelas Nursery Class","Glasgow City","19/12/2023",4,5,5,4,0,18
"662","Over 3s","Local Authority","St. Mungo's Nursery Class","Glasgow City","08/02/2019",5,5,5,5,0,20
"663","Over 3s","Local Authority","St. Timothys Nursery Class","Glasgow City","16/02/2018",5,5,4,4,0,18
"664","Under 3s","Local Authority","Bridgeton Family Learning Centre","Glasgow City","29/07/2019",5,4,4,5,0,18
"665","Under 3s","Local Authority","Dennistoun Early Years Centre","Glasgow City","31/10/2019",5,5,6,6,0,22
"666","Under 3s","Local Authority","Budhill Family Learning C E C","Glasgow City","06/02/2024",4,2,3,3,1,12
"667","Under 3s","Local Authority","Burnbrae Children's Centre","Glasgow City","03/09/2019",6,6,5,5,0,22
"668","Under 3s","Local Authority","Castlemilk Day Nursery","Glasgow City","02/10/2019",4,4,5,5,0,18
"669","Under 3s","Local Authority","Festival Park Day Nursery","Glasgow City","29/01/2020",5,4,5,5,0,19
"670","Under 3s","Local Authority","Cowcaddens Day Nursery","Glasgow City","11/12/2018",5,4,4,5,0,18
"671","Under 3s","Local Authority","Drumchapel Family Learning Centre","Glasgow City","30/10/2018",6,5,5,5,0,21
"672","Under 3s","Local Authority","Govan Family Learning Centre","Glasgow City","12/06/2019",5,5,4,5,0,19
"673","Under 3s","Local Authority","Fasque Family Centre","Glasgow City","13/12/2018",4,5,4,5,0,18
"674","Under 3s","Local Authority","Hamiltonhill Family Learning Centre","Glasgow City","11/07/2023",5,5,5,5,0,20
"675","Under 3s","Local Authority","Lime Tree Day Nursery","Glasgow City","11/09/2019",5,5,5,5,0,20
"676","Under 3s","Local Authority","Milton Community Nursery","Glasgow City","12/05/2021",4,4,4,4,0,16
"677","Under 3s","Local Authority","Molendinar Family L C","Glasgow City","27/05/2024",5,4,5,5,0,19
"678","Under 3s","Local Authority","Onslow Drive Day Nursery","Glasgow City","22/03/2024",4,4,4,4,0,16
"679","Under 3s","Local Authority","Sandyford Day Nursery","Glasgow City","24/12/2018",4,5,6,5,0,20
"680","Under 3s","Local Authority","Sandy Road Day Nursery","Glasgow City","30/10/2023",3,4,3,3,0,13
