"Date","Council","Wellbeing support","Care and support","Setting","Staffing","Leadership"
"Nov-19","Fife","4.180556","4.388889","3.666667","3.619048","3.523810"
"Nov-19","Glasgow City","4.175000","4.012500","3.838710","3.612903","3.419355"
"Nov-19","Highland","4.316667","4.116667","3.700000","3.565217","3.652174"
"Nov-19","Inverclyde","4.384615","4.307692","3.500000","4.000000","3.500000"
"Nov-19","Midlothian","3.833333","3.916667","3.428571","3.500000","3.714286"
"Nov-19","Moray","3.692308","3.692308","3.285714","3.285714","3.375000"
"Nov-19","Na h-Eileanan Siar","4.250000","3.875000","3.333333","3.400000","3.000000"
"Nov-19","North Ayrshire","4.142857","3.904762","3.222222","3.444444","3.250000"
"Nov-19","North Lanarkshire","4.033333","3.700000","3.888889","3.842105","3.315789"
"Nov-19","Orkney Islands","4.571429","4.571429","3.000000","4.000000","3.000000"
"Nov-19","Perth & Kinross","4.421053","4.078947","3.700000","3.600000","3.636364"
"Nov-19","Renfrewshire","4.375000","4.375000","4.000000","3.888889","3.888889"
"Nov-19","Scottish Borders","4.300000","4.250000","3.583333","3.454545","3.500000"
"Nov-19","Shetland Islands","4.111111","4.555556","4.000000","4.000000","3.000000"
"Nov-19","South Ayrshire","4.000000","4.000000","3.545455","3.222222","3.444444"
"Nov-19","South Lanarkshire","3.916667","3.729167","3.625000","3.794118","3.437500"
"Nov-19","Stirling","3.875000","3.625000","2.875000","3.142857","3.375000"
"Nov-19","West Dunbartonshire","4.222222","4.222222","4.000000","4.000000","3.800000"
"Nov-19","West Lothian","4.320000","4.160000","3.777778","3.200000","3.333333"
"Dec-19","Aberdeen City","4.500000","4.454545","4.000000","4.000000","4.166667"
"Dec-19","Aberdeenshire","4.421053","4.350877","3.823529","4.294118","4.000000"
"Dec-19","Angus","4.000000","3.931034","3.200000","3.700000","3.454545"
"Dec-19","Argyll & Bute","4.117647","3.764706","3.800000","3.777778","3.333333"
"Dec-19","City of Edinburgh","3.983607","3.901639","3.708333","3.666667","3.916667"
"Dec-19","Clackmannanshire","4.625000","4.500000","3.500000","3.500000","3.000000"
"Dec-19","Dumfries & Galloway","4.000000","4.103448","3.714286","3.461538","3.466667"
"Dec-19","Dundee City","4.035714","4.000000","3.600000","4.000000","3.666667"
"Dec-19","East Ayrshire","3.684211","3.578947","3.571429","3.500000","3.428571"
"Dec-19","East Dunbartonshire","4.250000","3.937500","3.888889","3.444444","3.333333"
"Dec-19","East Lothian","4.235294","4.176471","4.000000","3.727273","3.625000"
"Dec-19","East Renfrewshire","3.833333","3.666667","4.000000","3.142857","3.000000"
"Dec-19","Falkirk","4.291667","4.130435","3.833333","3.666667","3.583333"
"Dec-19","Fife","4.121622","4.337838","3.695652","3.521739","3.565217"
"Dec-19","Glasgow City","4.132530","4.000000","3.843750","3.625000","3.375000"
"Dec-19","Highland","4.333333","4.116667","3.700000","3.608696","3.652174"
"Dec-19","Inverclyde","4.470588","4.411765","3.666667","4.000000","3.500000"
"Dec-19","Midlothian","3.833333","3.916667","3.428571","3.500000","3.714286"
"Dec-19","Moray","3.615385","3.615385","3.285714","3.125000","3.222222"
"Dec-19","Na h-Eileanan Siar","4.250000","3.875000","3.333333","3.400000","3.000000"
"Dec-19","North Ayrshire","4.181818","4.000000","3.400000","3.600000","3.444444"
"Dec-19","North Lanarkshire","4.129032","3.741935","4.000000","3.950000","3.500000"
"Dec-19","Orkney Islands","4.571429","4.571429","3.000000","4.000000","3.000000"
"Dec-19","Perth & Kinross","4.289474","3.973684","3.615385","3.538462","3.538462"
"Dec-19","Renfrewshire","4.500000","4.423077","4.000000","4.000000","4.000000"
"Dec-19","Scottish Borders","4.250000","4.187500","3.444444","3.500000","3.500000"
"Dec-19","Shetland Islands","4.111111","4.555556","4.000000","4.000000","3.000000"
"Dec-19","South Ayrshire","3.809524","3.952381","3.642857","3.272727","3.250000"
"Dec-19","South Lanarkshire","3.960784","3.784314","3.687500","3.742857","3.515152"
"Dec-19","Stirling","3.842105","3.684211","3.000000","3.375000","3.444444"
"Dec-19","West Dunbartonshire","4.200000","4.200000","4.000000","4.000000","3.800000"
"Dec-19","West Lothian","4.259259","4.111111","3.700000","3.181818","3.500000"
"Jan-20","Aberdeen City","4.489362","4.425532","4.000000","4.000000","4.000000"
"Jan-20","Aberdeenshire","4.440678","4.372881","3.823529","4.294118","4.000000"
"Jan-20","Angus","4.066667","4.033333","3.272727","3.727273","3.454545"
"Jan-20","Argyll & Bute","4.058824","3.705882","3.800000","3.777778","3.333333"
"Jan-20","City of Edinburgh","4.058824","3.911765","3.678571","3.714286","3.892857"
"Jan-20","Clackmannanshire","4.500000","4.500000","3.500000","3.500000","3.000000"
"Jan-20","Dumfries & Galloway","3.966667","4.100000","3.600000","3.428571","3.375000"
"Jan-20","Dundee City","4.034483","4.034483","3.600000","4.000000","3.666667"
"Jan-20","East Ayrshire","3.761905","3.550000","3.533333","3.533333","3.466667"
"Jan-20","East Dunbartonshire","4.294118","4.000000","3.888889","3.444444","3.333333"
"Jan-20","East Lothian","4.235294","4.176471","4.000000","3.727273","3.625000"
"Jan-20","East Renfrewshire","3.692308","3.769231","4.125000","3.125000","3.000000"
"Jan-20","Falkirk","4.360000","4.208333","3.923077","3.692308","3.692308"
"Jan-20","Fife","4.116883","4.311688","3.695652","3.541667","3.500000"
"Jan-20","Glasgow City","4.153846","4.000000","3.823529","3.617647","3.352941"
"Jan-20","Highland","4.338710","4.129032","3.700000","3.608696","3.652174"
"Jan-20","Inverclyde","4.476190","4.285714","3.800000","4.000000","3.500000"
"Jan-20","Midlothian","3.833333","3.833333","3.428571","3.375000","3.750000"
"Jan-20","Moray","3.533333","3.666667","3.375000","3.000000","3.181818"
"Jan-20","Na h-Eileanan Siar","4.125000","3.875000","3.333333","3.400000","3.000000"
"Jan-20","North Ayrshire","4.400000","4.200000","3.545455","3.700000","3.666667"
"Jan-20","North Lanarkshire","4.161290","3.774194","4.000000","4.000000","3.571429"
"Jan-20","Orkney Islands","4.571429","4.428571","3.000000","4.000000","3.000000"
"Jan-20","Perth & Kinross","4.341463","4.073171","3.533333","3.800000","3.866667"
"Jan-20","Renfrewshire","4.500000","4.423077","4.000000","4.000000","4.000000"
"Jan-20","Scottish Borders","4.312500","4.187500","3.444444","3.500000","3.500000"
"Jan-20","Shetland Islands","4.111111","4.555556","4.000000","4.000000","3.000000"
"Jan-20","South Ayrshire","3.600000","3.850000","3.666667","3.250000","3.230769"
"Jan-20","South Lanarkshire","3.943396","3.754717","3.687500","3.777778","3.500000"
"Jan-20","Stirling","3.850000","3.650000","2.888889","3.375000","3.333333"
"Jan-20","West Dunbartonshire","4.090909","4.090909","4.000000","4.000000","3.800000"
"Jan-20","West Lothian","4.259259","4.074074","3.700000","3.181818","3.500000"
"Feb-20","Aberdeen City","4.458333","4.437500","4.000000","4.000000","4.000000"
"Feb-20","Aberdeenshire","4.467742","4.403226","3.777778","4.294118","4.000000"
"Feb-20","Angus","4.066667","4.033333","3.272727","3.727273","3.454545"
"Feb-20","Argyll & Bute","4.000000","3.705882","3.800000","3.777778","3.333333"
"Feb-20","City of Edinburgh","4.100000","3.885714","3.666667","3.620690","3.793103"
"Feb-20","Clackmannanshire","4.500000","4.500000","3.500000","3.500000","3.000000"
"Feb-20","Dumfries & Galloway","4.093750","4.187500","3.600000","3.428571","3.375000"
"Feb-20","Dundee City","4.034483","4.034483","3.600000","4.000000","3.666667"
"Feb-20","East Ayrshire","3.600000","3.578947","3.500000","3.500000","3.428571"
"Feb-20","East Dunbartonshire","4.368421","4.105263","3.888889","3.444444","3.333333"
"Feb-20","East Lothian","4.222222","4.166667","4.000000","3.750000","3.777778"
"Feb-20","East Renfrewshire","3.692308","3.769231","4.125000","3.125000","3.000000"
"Feb-20","Falkirk","4.344828","4.357143","3.857143","3.714286","3.714286"
"Feb-20","Fife","4.088608","4.291139","3.708333","3.500000","3.541667"
"Feb-20","Glasgow City","4.175824","4.032967","3.787879","3.636364","3.393939"
"Feb-20","Highland","4.333333","4.111111","3.714286","3.541667","3.750000"
"Feb-20","Inverclyde","4.500000","4.318182","3.800000","4.000000","3.500000"
"Feb-20","Midlothian","3.833333","3.833333","3.428571","3.375000","3.750000"
"Feb-20","Moray","3.533333","3.733333","3.375000","3.000000","3.181818"
"Feb-20","Na h-Eileanan Siar","4.125000","3.875000","3.333333","3.400000","3.000000"
"Feb-20","North Ayrshire","4.360000","4.200000","3.545455","3.700000","3.666667"
"Feb-20","North Lanarkshire","4.161290","3.774194","4.000000","4.000000","3.571429"
"Feb-20","Orkney Islands","4.571429","4.428571","3.000000","4.000000","3.000000"
"Feb-20","Perth & Kinross","4.317073","4.097561","3.533333","3.666667","3.800000"
"Feb-20","Renfrewshire","4.538462","4.423077","4.000000","4.100000","4.000000"
"Feb-20","Scottish Borders","4.312500","4.187500","3.444444","3.500000","3.500000"
"Feb-20","Shetland Islands","4.111111","4.555556","4.000000","4.000000","3.000000"
"Feb-20","South Ayrshire","3.666667","3.904762","3.666667","3.250000","3.230769"
"Feb-20","South Lanarkshire","3.981481","3.759259","3.718750","3.833333","3.542857"
"Feb-20","Stirling","3.850000","3.650000","2.888889","3.375000","3.333333"
"Feb-20","West Dunbartonshire","4.200000","4.200000","4.000000","4.000000","3.800000"
"Feb-20","West Lothian","4.285714","4.071429","3.700000","3.090909","3.500000"
"Mar-20","Aberdeen City","4.469388","4.448980","4.000000","4.000000","4.000000"
"Mar-20","Aberdeenshire","4.444444","4.380952","3.777778","4.294118","4.000000"
"Mar-20","Angus","4.100000","4.033333","3.272727","3.818182","3.545455"
"Mar-20","Argyll & Bute","4.058824","3.705882","3.800000","3.777778","3.333333"
"Mar-20","City of Edinburgh","4.112676","3.915493","3.741935","3.666667","3.866667"
"Mar-20","Clackmannanshire","4.500000","4.500000","3.500000","3.500000","3.000000"
"Mar-20","Dumfries & Galloway","4.031250","4.187500","3.600000","3.428571","3.352941"
"Mar-20","Dundee City","4.103448","4.068966","3.800000","4.000000","3.777778"
"Mar-20","East Ayrshire","3.782609","3.772727","3.562500","3.625000","3.500000"
"Mar-20","East Dunbartonshire","4.368421","4.105263","3.888889","3.444444","3.333333"
"Mar-20","East Lothian","4.315789","4.263158","4.111111","3.923077","4.000000"
"Mar-20","East Renfrewshire","3.692308","3.769231","4.125000","3.125000","3.000000"
"Mar-20","Falkirk","4.344828","4.357143","3.857143","3.714286","3.714286"
"Mar-20","Fife","4.088608","4.291139","3.708333","3.500000","3.541667"
"Mar-20","Glasgow City","4.175824","4.032967","3.787879","3.636364","3.393939"
"Mar-20","Highland","4.338462","4.138462","3.772727","3.615385","3.807692"
"Mar-20","Inverclyde","4.476190","4.380952","3.750000","4.000000","3.666667"
"Mar-20","Midlothian","3.833333","3.833333","3.428571","3.375000","3.750000"
"Mar-20","Moray","3.533333","3.733333","3.375000","3.111111","3.272727"
"Mar-20","Na h-Eileanan Siar","4.125000","3.875000","3.333333","3.400000","3.000000"
"Mar-20","North Ayrshire","4.400000","4.200000","3.545455","3.700000","3.666667"
"Mar-20","North Lanarkshire","4.161290","3.774194","4.000000","4.000000","3.571429"
"Mar-20","Orkney Islands","4.571429","4.428571","3.000000","4.000000","3.000000"
"Mar-20","Perth & Kinross","4.317073","4.097561","3.533333","3.666667","3.800000"
"Mar-20","Renfrewshire","4.500000","4.423077","4.000000","4.000000","3.900000"
"Mar-20","Scottish Borders","4.333333","4.222222","3.727273","3.777778","3.714286"
"Mar-20","Shetland Islands","4.111111","4.555556","4.000000","4.000000","3.000000"
"Mar-20","South Ayrshire","3.714286","3.904762","3.666667","3.250000","3.230769"
"Mar-20","South Lanarkshire","3.981481","3.759259","3.718750","3.833333","3.542857"
"Mar-20","Stirling","3.900000","3.650000","3.000000","3.375000","3.333333"
"Mar-20","West Dunbartonshire","4.200000","4.200000","4.000000","4.000000","3.800000"
"Mar-20","West Lothian","4.310345","4.068966","3.700000","3.181818","3.500000"
"Apr-20","Aberdeen City","4.469388","4.448980","4.000000","4.000000","4.000000"
"Apr-20","Aberdeenshire","4.444444","4.380952","3.777778","4.294118","4.000000"
"Apr-20","Angus","4.100000","4.033333","3.272727","3.818182","3.545455"
"Apr-20","Argyll & Bute","4.058824","3.705882","3.800000","3.777778","3.333333"
