"Council","Wellbeing support","Care and support","Setting","Staffing","Leadership"
"Angus",3.96153846153846,4.19230769230769,3.96153846153846,4.03846153846154,4.15384615384615
"Dundee City",4.14814814814815,4.19230769230769,4.34615384615385,4.30769230769231,4.11111111111111
"Fife",3.92,3.89189189189189,4.05405405405405,3.94594594594595,4.08
"Perth & Kinross",3.8780487804878,3.8780487804878,3.90243902439024,4.02439024390244,3.73170731707317
"Stirling",4.68181818181818,4.22727272727273,4.45454545454545,4.5,4.54545454545455
