"Council","Setting","Staffing","Leadership","Play and learning"
"Angus",4.6441717791411,4.58992805755396,4.44171779141104,4.61963190184049
"Dundee City",4.48275862068965,4.44262295081967,4.30821917808219,4.51724137931035
"Fife",4.54260089686099,4.52857142857143,4.3677130044843,4.5695067264574
"Perth & Kinross",4.53333333333333,4.59712230215827,4.35384615384615,4.53846153846154
"Stirling",4.64912280701754,4.63953488372093,4.45614035087719,4.69298245614035
