"Council","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022","Feb 2022","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023","Sep 2023","Oct 2023","Nov 2023","Dec 2023","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024"
"Glasgow City",3,2,6,4,5,2,2,2,2,4,2,3,4,1,1,3,2,5,5,1,3,5,5,6,4,2,2,3,1,2,3,2,2,1,0,1,3,4,2,4,2,2,3,1,0,1,0,3,6,0,3,2,1,2,1,5,1,5,1,1,3,2,4,0,1,0,3,1,2,2,4,0,8,1,13,1,2,2,3,4,3,2,4,2
"Highland",6,3,8,4,6,2,0,1,3,6,8,3,5,4,4,3,4,5,2,2,1,7,3,5,4,4,3,0,1,0,12,5,2,0,0,2,1,2,3,2,2,1,1,1,1,0,0,2,3,1,0,3,2,0,1,1,3,4,0,2,1,2,7,2,3,1,4,2,2,0,0,2,3,0,2,4,1,0,0,4,0,3,3,1
"Inverclyde",0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,0,0,0,2,0,1,1,0,0,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"Midlothian",2,2,3,1,0,1,3,1,0,2,2,1,0,2,2,0,1,1,0,2,1,2,0,1,1,4,0,2,3,4,1,1,1,0,0,1,1,0,0,2,2,0,1,0,4,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,2,1,1,0,0,0,0,1,1,0,1
"Moray",1,1,7,2,1,0,1,0,5,2,1,0,2,3,2,0,1,1,3,1,1,0,0,0,2,2,2,1,1,0,1,1,0,0,1,2,0,2,5,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,2,0,2,1,0,2,1,0,4,1,1,1,0,1,5,2,1,1,0,3,0,0,1,0,1,0,0,0,0
"Na h-Eileanan Siar",0,0,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0
"North Ayrshire",0,2,2,1,3,0,2,1,0,0,3,2,2,1,1,4,1,0,2,1,0,0,2,0,0,2,1,1,4,1,3,1,2,1,0,0,2,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,2,0,1,1,0,0,3,0,1,0,0,0
"North Lanarkshire",1,3,3,5,2,2,0,2,3,3,4,4,5,1,1,3,2,4,4,2,1,0,2,3,2,3,2,6,4,0,5,0,1,4,0,0,2,4,8,3,3,2,0,0,2,3,0,0,2,5,1,2,0,0,1,2,1,0,1,1,0,0,1,0,6,0,2,2,0,1,0,1,4,1,0,0,1,0,2,1,1,4,2,1
"Perth & Kinross",1,1,2,3,3,2,1,2,2,1,1,2,3,1,4,3,1,2,0,3,0,2,1,2,1,3,3,1,2,4,2,1,2,0,1,5,3,2,5,0,2,1,1,0,4,1,0,1,4,1,2,2,1,2,0,0,0,0,1,1,2,1,0,2,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0
"Renfrewshire",0,1,0,2,1,1,0,0,5,2,0,0,0,1,1,5,1,2,0,0,1,0,4,2,2,0,2,0,1,0,0,0,0,0,1,0,1,0,0,1,2,1,2,0,0,0,0,3,0,1,1,0,2,0,2,4,0,1,0,1,1,0,0,0,0,0,1,1,0,3,1,1,3,0,0,0,2,2,0,2,1,0,0,0
"Scottish Borders",3,1,1,1,4,4,0,2,2,0,0,3,1,1,4,2,1,3,3,0,0,1,0,0,1,1,2,0,1,3,10,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,5,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,2,2,1,0,0,0,0,2,1
"Shetland Islands",0,1,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Ayrshire",1,1,2,0,1,0,0,1,1,1,0,1,0,2,0,2,2,1,0,1,0,1,2,3,2,0,0,2,1,1,4,1,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,1,1,1,1,1,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0,1
"South Lanarkshire",2,8,5,1,2,1,3,0,1,2,0,3,5,4,1,4,1,3,3,0,0,3,2,1,2,0,2,4,2,1,4,1,4,1,3,1,1,3,1,2,5,3,1,1,4,0,0,1,2,2,3,0,1,0,0,2,5,0,1,0,0,0,2,3,2,1,3,0,1,0,0,2,4,0,5,4,0,1,1,2,0,0,2,0
"Stirling",0,2,3,1,1,0,0,0,2,3,0,0,1,2,3,0,2,1,0,2,3,1,0,2,2,1,5,0,1,1,1,1,2,1,1,0,2,0,2,0,2,2,1,2,0,0,0,0,1,0,0,2,1,1,2,0,0,0,1,0,0,2,0,0,0,1,3,0,0,0,0,1,0,1,5,0,1,1,1,0,0,0,0,0
"West Dunbartonshire",0,2,1,0,0,1,1,1,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,3,1,0,0,0,0,1,1,1,2,0,2,3,0,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
"West Lothian",2,0,4,2,2,3,1,4,2,2,7,3,4,1,3,2,1,3,3,3,0,2,2,3,3,5,3,5,2,2,2,2,0,6,1,2,1,1,5,1,0,3,2,2,0,1,0,0,4,1,2,5,0,2,0,0,2,3,1,2,0,2,3,0,1,9,1,0,0,1,3,2,1,1,1,1,0,4,0,1,2,0,4,0
"outside Scotland",1,0,0,2,0,0,0,0,0,0,0,2,0,0,1,1,2,1,0,3,2,5,3,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1
"Orkney Islands",0,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
