"Date","Scotland"
"Jun 2023",25
"Jul 2023",25
"Aug 2023",24
"Sep 2023",24
"Oct 2023",24
"Nov 2023",24
"Dec 2023",24
"Jan 2024",24
"Feb 2024",23
"Mar 2024",24
"Apr 2024",24
"May 2024",24
"Jun 2017",95
"Jul 2017",95
"Aug 2017",95
"Sep 2017",95
"Oct 2017",95
"Nov 2017",96
"Dec 2017",97
"Jan 2018",97
"Feb 2018",97
"Mar 2018",99
"Apr 2018",99
"May 2018",99
"Jun 2018",100
"Jul 2018",101
"Aug 2018",100
"Sep 2018",100
"Oct 2018",101
"Nov 2018",101
"Dec 2018",101
"Jan 2019",102
"Feb 2019",103
"Mar 2019",103
"Apr 2019",103
"May 2019",103
"Jun 2019",102
"Jul 2019",102
"Aug 2019",101
"Sep 2019",102
"Oct 2019",102
"Nov 2019",102
"Dec 2019",102
"Jan 2020",102
"Feb 2020",102
"Mar 2020",102
"Apr 2020",102
"May 2020",102
"Jun 2020",102
"Jul 2020",102
"Aug 2020",102
"Sep 2020",102
"Oct 2020",102
"Nov 2020",102
"Dec 2020",102
"Jan 2021",103
"Feb 2021",103
"Mar 2021",101
"Apr 2021",101
"May 2021",101
"Jun 2021",100
"Jul 2021",100
"Aug 2021",100
"Sep 2021",100
"Oct 2021",101
"Nov 2021",100
"Dec 2021",100
"Jan 2022",100
"Feb 2022",100
"Mar 2022",100
"Apr 2022",100
"May 2022",100
"Jun 2022",100
"Jul 2022",100
"Aug 2022",100
"Sep 2022",100
"Oct 2022",100
"Nov 2022",100
"Dec 2022",101
"Jan 2023",101
"Feb 2023",101
"Mar 2023",101
"Apr 2023",100
"May 2023",100
"Jun 2023",99
"Jul 2023",99
"Aug 2023",99
"Sep 2023",99
"Oct 2023",99
"Nov 2023",98
"Dec 2023",98
"Jan 2024",99
"Feb 2024",99
"Mar 2024",99
"Apr 2024",101
"May 2024",100
"Jun 2017",12
"Jul 2017",12
"Aug 2017",12
"Sep 2017",12
"Oct 2017",12
"Nov 2017",12
"Dec 2017",12
"Jan 2018",12
"Feb 2018",12
"Mar 2018",12
"Apr 2018",12
"May 2018",12
"Jun 2018",12
"Jul 2018",12
"Aug 2018",12
"Sep 2018",12
"Oct 2018",12
"Nov 2018",12
"Dec 2018",12
"Jan 2019",12
"Feb 2019",12
"Mar 2019",12
"Apr 2019",12
"May 2019",12
"Jun 2019",12
"Jul 2019",12
"Aug 2019",12
"Sep 2019",12
"Oct 2019",12
"Nov 2019",12
"Dec 2019",12
"Jan 2020",12
"Feb 2020",12
"Mar 2020",12
"Apr 2020",12
"May 2020",12
"Jun 2020",12
"Jul 2020",12
"Aug 2020",12
"Sep 2020",12
"Oct 2020",12
"Nov 2020",12
"Dec 2020",12
"Jan 2021",12
"Feb 2021",12
"Mar 2021",12
"Apr 2021",12
"May 2021",12
"Jun 2021",11
"Jul 2021",11
"Aug 2021",11
"Sep 2021",11
"Oct 2021",11
"Nov 2021",11
"Dec 2021",11
"Jan 2022",11
"Feb 2022",11
"Mar 2022",11
"Apr 2022",11
"May 2022",11
"Jun 2022",11
"Jul 2022",11
"Aug 2022",11
"Sep 2022",11
"Oct 2022",11
"Nov 2022",11
"Dec 2022",11
"Jan 2023",11
"Feb 2023",11
"Mar 2023",11
"Apr 2023",11
"May 2023",11
"Jun 2023",11
"Jul 2023",11
"Aug 2023",11
"Sep 2023",10
"Oct 2023",10
"Nov 2023",10
"Dec 2023",10
"Jan 2024",10
"Feb 2024",10
"Mar 2024",10
"Apr 2024",10
"May 2024",10
"Jun 2017",56
"Jul 2017",56
"Aug 2017",56
"Sep 2017",55
"Oct 2017",55
"Nov 2017",55
"Dec 2017",54
"Jan 2018",54
"Feb 2018",54
"Mar 2018",54
"Apr 2018",54
"May 2018",54
"Jun 2018",54
"Jul 2018",54
"Aug 2018",54
"Sep 2018",53
"Oct 2018",53
"Nov 2018",53
"Dec 2018",53
"Jan 2019",53
"Feb 2019",53
"Mar 2019",53
"Apr 2019",53
"May 2019",53
"Jun 2019",53
"Jul 2019",53
"Aug 2019",53
"Sep 2019",52
"Oct 2019",52
"Nov 2019",52
"Dec 2019",52
"Jan 2020",52
"Feb 2020",52
"Mar 2020",52
"Apr 2020",52
"May 2020",52
"Jun 2020",52
"Jul 2020",52
"Aug 2020",52
"Sep 2020",52
"Oct 2020",51
"Nov 2020",51
"Dec 2020",51
"Jan 2021",51
"Feb 2021",50
"Mar 2021",51
"Apr 2021",51
"May 2021",51
"Jun 2021",52
"Jul 2021",52
"Aug 2021",52
"Sep 2021",51
"Oct 2021",51
"Nov 2021",51
"Dec 2021",51
"Jan 2022",50
"Feb 2022",50
"Mar 2022",50
"Apr 2022",50
"May 2022",50
"Jun 2022",50
"Jul 2022",50
"Aug 2022",50
"Sep 2022",50
"Oct 2022",49
"Nov 2022",48
"Dec 2022",48
"Jan 2023",48
"Feb 2023",48
"Mar 2023",48
"Apr 2023",48
"May 2023",47
"Jun 2023",47
"Jul 2023",47
"Aug 2023",47
"Sep 2023",47
"Oct 2023",47
"Nov 2023",47
"Dec 2023",48
"Jan 2024",48
"Feb 2024",47
"Mar 2024",47
"Apr 2024",47
"May 2024",47
"Jun 2017",38
"Jul 2017",38
"Aug 2017",38
"Sep 2017",37
"Oct 2017",37
"Nov 2017",37
"Dec 2017",37
"Jan 2018",37
"Feb 2018",37
"Mar 2018",38
"Apr 2018",38
"May 2018",38
"Jun 2018",38
"Jul 2018",38
"Aug 2018",38
"Sep 2018",38
"Oct 2018",38
"Nov 2018",37
"Dec 2018",37
"Jan 2019",37
"Feb 2019",37
"Mar 2019",37
"Apr 2019",37
"May 2019",37
"Jun 2019",37
"Jul 2019",37
"Aug 2019",37
"Sep 2019",37
"Oct 2019",37
"Nov 2019",37
"Dec 2019",36
"Jan 2020",36
"Feb 2020",36
"Mar 2020",36
"Apr 2020",36
"May 2020",36
"Jun 2020",36
