"Council","Wellbeing support","Care and support","Setting","Staffing","Leadership"
"Aberdeen City",4,4.04,3.94,4.12,4.08
"Aberdeenshire",4,4.24590163934426,4.14754098360656,4.29508196721311,4.14754098360656
"Highland",4.26666666666667,4.25862068965517,4.27586206896552,4.24137931034483,4.08333333333333
"Moray",4,4.125,4.0625,4.0625,4.125
"Na h-Eileanan Siar",4.11111111111111,4.11111111111111,4.55555555555556,4.22222222222222,3.88888888888889
"Orkney Islands",4,4.4,4.2,4.2,4.2
"Shetland Islands",3.9,4.7,4.2,4,4
