"Council","Setting","Staffing","Leadership","Play and learning"
"Aberdeen City",4.44,4.40606060606061,4.35398230088496,4.40444444444444
"Aberdeenshire",4.47814910025707,4.47266881028939,4.2159383033419,4.4318766066838
"Highland",4.38972809667674,4.3852140077821,4.29305135951662,4.45317220543807
"Moray",4.47101449275362,4.32258064516129,4.16666666666667,4.44927536231884
"Na h-Eileanan Siar",4.58620689655172,4.60869565217391,4.51724137931035,4.58620689655172
"Orkney Islands",4.55263157894737,4.59259259259259,4.38461538461539,4.63157894736842
"Shetland Islands",4.44827586206897,4.6,4.3448275862069,4.58620689655172
